age,sex,sex_2_TEXT,gender,gender_4_TEXT,relation_1,relation_2,relation_3,relation_4,relation_5,relation_6,relation_7,relation_7_TEXT,kids,soibh_1,soibh_2,soibh_3,soiatt_1,soiatt_2,soiatt_3,soides_1,soides_2,soides_3,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,sdo_9,sdo_10,sdo_11,sdo_12,sdo_13,sdo_14,moral_7,moral_8,moral_9,moral_10,moral_11,moral_12,moral_1,moral_2,moral_3,moral_4,moral_5,moral_6,sexorien,sexorien_3_TEXT,ethnic,ethnic_0_TEXT,ethnic_1_TEXT,ethnic_2_TEXT,ethnic_3_TEXT,ethnic_6_TEXT,relafil,relafil_9_TEXT,rel_1,polit_1,withdraw,ID,counter,soiatt_3R,soibh,soibh2,soiatt,soides,soitot,sdo_8R,sdo_9R,sdo_10R,sdo_11R,sdo_12R,sdo_13R,sdo_14R,sdo,moral_2R,moral_4R,moral_8R,moral_10R,moral_wo,moral_men
25,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,8,8,9,5,2,6,3,3,1,1,1,1,1,1,3,6,7,7,7,7,7,7,2,6,2,6,1,2,1,7,2,7,1,1,0,NA,0,slovak,NA,NA,NA,NA,0,NA,1,4,0,5df7f2a06aab7c59c3dc3b9e,Male promiscuity first,8,6,8,7.333333333,4,5.777777778,2,1,1,1,1,1,1,1.214285714,1,1,2,2,1.166666667,1.833333333
23,Male,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,4,3,3,9,5,3,3,2,2,2,3,1,2,1,1,1,6,6,6,5,5,7,5,1,7,1,7,1,1,1,7,1,7,1,1,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,3,0,5f496e529b01a64d19365c50,Female promiscuity first,7,3.333333333,3,7,2.333333333,4.222222222,2,2,2,3,3,1,3,1.928571429,1,1,1,1,1,1
27,Female,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,8,1,8,6,2,1,1,1,1,1,1,1,1,6,7,7,7,7,7,7,4,5,2,4,2,2,4,5,2,4,2,2,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,2,0,5b0c33b1444cef0001ca5382,Female promiscuity first,2,1,1,3.666666667,3,2.555555556,2,1,1,1,1,1,1,1.071428571,3,4,3,4,2.833333333,2.833333333
34,Female,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,2,1,1,7,2,8,1,1,1,1,1,1,1,3,1,4,7,7,7,7,7,7,7,6,6,2,2,4,4,2,6,2,6,4,4,0,NA,2,NA,NA,NA,NA,NA,7,NA,4,4,0,5f05930122e449024591bf50,Male promiscuity first,2,1.333333333,1,3.666666667,1,2,1,1,1,1,1,1,1,1.357142857,2,2,2,6,2.666666667,4
31,Male,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,2,1,2,7,6,2,5,3,2,2,2,6,2,2,2,2,6,6,6,6,6,6,6,2,6,2,6,2,2,2,6,2,6,2,2,0,NA,0,Greek,NA,NA,NA,NA,1,NA,4,4,0,5cdee62f7f65ee001a9855ba,Female promiscuity first,8,1.666666667,1.5,7,3.333333333,4,2,2,2,2,2,2,2,2.285714286,2,2,2,2,2,2
20,Female,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3,5,9,4,2,5,5,2,1,2,3,5,3,6,7,7,5,7,7,7,6,5,3,3,5,5,5,6,3,5,4,5,0,NA,0,NA,NA,NA,NA,NA,1,NA,5,4,0,5efe327ec4efc3316050ab13,Male promiscuity first,1,1,1,3,3.666666667,2.555555556,2,1,1,3,1,1,1,2.214285714,2,3,3,5,3.666666667,4.5
26,Female,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,4,3,8,4,3,6,4,2,3,3,5,3,3,3,3,5,5,5,6,6,7,7,3,6,2,4,4,4,3,6,2,4,3,3,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,4,0,5b1ec77744127b0001400ec0,Male promiscuity first,7,3,3.5,6.333333333,4,4.444444444,3,3,3,2,2,1,1,2.714285714,2,4,2,4,2.833333333,3.166666667
27,Male,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,2,3,8,8,8,3,7,5,5,5,5,4,3,2,1,6,5,7,7,7,7,7,7,2,6,2,5,4,2,2,6,3,6,2,2,0,NA,3,NA,NA,NA,african/italian,NA,1,NA,3,5,0,5e73ca93f1e6520b267b7709,Male promiscuity first,7,4.333333333,5.5,7.666666667,5.666666667,5.888888889,3,1,1,1,1,1,1,2.5,2,2,2,3,2.166666667,2.5
33,Female,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,2,2,7,4,7,3,3,3,1,1,3,2,2,1,2,6,6,7,6,4,5,4,2,6,2,5,6,6,2,6,2,6,5,5,0,NA,0,NA,NA,NA,NA,NA,8,NA,1,3,0,5d9c2a38d6e56402c8b916dc,Male promiscuity first,3,1.666666667,2,4.666666667,3,3.111111111,2,2,1,2,4,3,4,2.142857143,2,2,2,3,3,3.5
19,Male,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,3,2,3,9,8,3,3,4,5,1,1,1,1,1,1,6,5,5,7,7,6,7,7,1,7,1,7,1,1,1,7,1,6,1,1,0,NA,1,NA,NA,NA,NA,NA,1,NA,5,4,0,5e85d54f97225603e14f4ce9,Female promiscuity first,7,2.666666667,2.5,8,4,4.888888889,3,3,1,1,2,1,1,1.714285714,1,2,1,1,1.166666667,1
